Company,Job Category,Title,Processed Title,Min Salary,Max Salary,Adjusted Salary,Last Update
Aiu. Pte Ltd,Software Engineering,Software Developer,"['softwar', 'develop']",4500,6500,4500,2020-12-29
Rockmann Pte Ltd,Engineering,Site Engineer,"['site', 'engin']",2500,3200,2500,2021-01-04
Jal Yoga International Pte Ltd,Marketing,Digital Marketing Executive,"['digit', 'market', 'execut']",2000,3000,2000.0,2020-12-21
Yurica Labs Pte Ltd,Business Development / Sales,Sales & Business Development Executive,"['sale', 'busi', 'develop', 'execut']",2000,2500,2000,2020-12-14
Benny Kee Financial Group,Finance,Student Advisor,"['student', 'advisor']",500,6000,2600.0,2020-12-21
J L Institution Pte Ltd,Administrative,Full Time Admin and Course Consultant,"['full', 'time', 'admin', 'and', 'cours', 'consult']",2000,2200,2000,2020-12-11
Sunriseclick,Software Engineering,Full-Stack Developer (PHP),"['full-stack', 'develop', 'php']",3500,4500,3500,2020-12-15
Envoy Search Partners,Software Engineering, Application Security Engineer ,"['applic', 'secur', 'engin']",5000,6500,5000,2021-01-05
Webpuppies,Design,Web Designer (Singaporean/PR Only),"['web', 'design', 'singaporean/pr', 'onli']",1200,1500,1200,2021-01-05
Presto Drycleaners Pte Ltd,Operations,Laundry General Worker,"['laundri', 'gener', 'worker']",130,1800,772.0,2020-12-31
Mosanco Enchanted Cafe,Marketing,Social Media Marketing Exec x8 - Great Career + Portfolio Development!,"['social', 'media', 'market', 'exec', 'x8', 'great', 'career', 'portfolio', 'develop']",2000,2600,2000,2020-12-29
Prelude Recruit,Business Development / Sales,B2B Sales and Marketing ,"['b2b', 'sale', 'and', 'market']",2500,4000,2600.0,2020-12-20
Spectrum Ingredients Pte Ltd,Other,Vending Maintenance Technician,"['vend', 'mainten', 'technician']",1800,2400,1800,2020-12-29
Leftright Corporate Pte. Ltd.,Administrative,Admin & Operations Executive,"['admin', 'oper', 'execut']",2200,2700,2200,2021-01-05
Fei Siong Food Management Pte. Ltd.,Software Engineering,Full Stack Software Engineer (Mobile),"['full', 'stack', 'softwar', 'engin', 'mobil']",3500,4800,3500,2020-12-23
CLICKTROY (SG) PTE LTD,Administrative,Online Marketplace Account Manager,"['onlin', 'marketplac', 'account', 'manag']",800,1000,800,2020-12-29
Bigfoot Logistic,Operations,Operation Supervisor - PSA,"['oper', 'supervisor', 'psa']",2700,3100,2700,2020-12-12
Edvance Security Solution,Other,AI Machine Support,"['AI', 'machin', 'support']",1000,1800,1120.0,2020-12-28
Markist Pte Ltd,Marketing,Marketing Executive,"['market', 'execut']",2100,2500,2100,2021-01-04
Iconz Pte Ltd,Other,Hiring for Telemarketer,"['hire', 'for', 'telemarket']",8,10,8,2021-01-04
Wong Fong Engineering Works (1988) Pte Ltd,Marketing,Marketing Executive ,"['market', 'execut']",2800,3500,2800,2020-12-10
Carnival Empire Pte Ltd,Administrative,Event executive,"['event', 'execut']",600,1000,640.0,2020-12-29
Foodsterr,Marketing,Marketing Exec - Singaporean/PR only,"['market', 'exec', 'singaporean/pr', 'onli']",2000,2600,2000,2021-01-03
Sunriseclick,Software Engineering,Full-Stack Developer (Mid-level Magento Specialist),"['full-stack', 'develop', 'mid-level', 'magento', 'specialist']",4000,5000,4000,2020-12-11
City Gas Pte Ltd (as Trustee),Business Development / Sales,"Marketing Officer (Sales & Project Marketing Branch) (3-yrs contract, renewable)","['market', 'offic', 'sale', 'project', 'market', 'branch', '3-yr', 'contract', 'renew']",1750,2000,1750,2020-12-11
